,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
2138,J6.B000971.3_39_F.1.1-1,nan,3m,1,J6.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1899,667569,4,4_B cell
2139,J6.B001750.3_38_F.1.1-1,nan,3m,1,J6.B001750.3_38_F.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_38_F,nan,female,NA,Spleen,nan,2550,678816,9,9_T cell
2140,J6.MAA000559.3_8_M.1.1-1,nan,3m,1,J6.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1476,260770,5,5_B cell
2141,J7.B000971.3_39_F.1.1-1,nan,3m,1,J7.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1744,721848,0,0_B cell
2142,J7.B001750.3_38_F.1.1-1,nan,3m,1,J7.B001750.3_38_F.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_38_F,nan,female,NA,Spleen,nan,1885,1030006,12,12_NK cell
2143,J7.MAA000559.3_8_M.1.1-1,nan,3m,1,J7.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1007,17343,5,5_B cell
2144,J8.B000971.3_39_F.1.1-1,nan,3m,1,J8.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1699,651126,11,11_B cell
2145,J8.B001750.3_38_F.1.1-1,nan,3m,1,J8.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1668,930998,5,5_B cell
2146,J8.MAA000559.3_8_M.1.1-1,nan,3m,1,J8.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1605,276600,4,4_B cell
2147,J9.B000971.3_39_F.1.1-1,nan,3m,1,J9.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1572,474175,7,7_B cell
2148,J9.B001750.3_38_F.1.1-1,nan,3m,1,J9.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,1707,347377,3,3_B cell
2149,J9.MAA000559.3_8_M.1.1-1,nan,3m,1,J9.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1464,167631,0,0_B cell
2150,J9.MAA000776.3_10_M.1.1-1,nan,3m,1,J9.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2605,698491,3,3_B cell
